number,image,sender_id,label,size,price
1,ea7b6656-3f84-4eb3-9099-23e623fc1018,148,T-Shirt,small,742
3,ea2ffd4d-9b25-4ca8-9dc2-bd27f1cc59fa,43,T-Shirt,large,317
4,3b86d877-2b9e-4c8b-a6a2-1d87513309d0,189,Shoes,small,748
5,5d3a1404-697f-479f-9090-c1ecd0413d27,138,Shorts,small,205
6,b0c03127-9dfb-4573-8934-1958396937bf,138,Shirt,large,790
7,4c8f245e-a039-46fd-a6b9-1bb51e83fc05,226,T-Shirt,medium,627
8,c995c900-693d-4dd6-8995-43f3051ec488,337,Pants,large,571
9,bf78527f-0734-44fd-a968-f6c32c12d61e,175,Shoes,large,853
10,70045b01-b350-4918-be74-2f627290ad7a,95,Skirt,large,945
11,61bbb3a2-2ee0-47bd-b3f9-2675b3076302,293,Shoes,large,992
12,08215318-faff-4037-bee9-5bceb0af7747,29,Shoes,small,486
14,95609fcf-b2c2-4f35-8454-a308262e30ea,185,T-Shirt,medium,580
17,5dcffea5-5111-4397-b9ed-313b41bdeea8,211,Shorts,medium,556
18,1b2ace0a-382e-4b87-8e9d-35cbcfac636b,186,Outwear,medium,752
19,d44cfac9-3fda-47ba-8eb1-8b130f60b08c,217,Skirt,medium,997
20,97074b7f-706a-4c17-b875-bd9baa5bed0e,128,Pants,small,810
22,e3c8e575-c5b8-4c4c-9f49-62b37b611b6b,174,Dress,medium,738
23,534cb9e4-658e-48a9-a9d9-365149ee52e8,16,T-Shirt,medium,120
24,e6a8b33f-279c-4072-8dba-229d94205e55,65,Dress,small,758
27,5805e9ba-176c-461b-87f7-ff400291d0fc,142,Longsleeve,large,302
29,a3e5af58-cc70-48b8-85f7-cd160ba95968,294,Shoes,large,515
30,8f6822c3-862b-4126-9a35-585569aec240,14,Longsleeve,medium,547
31,84a4a5a4-fb02-4009-916d-7e82d65c3e12,233,Pants,large,611
32,30feae84-c7b1-4e72-8b42-0f7736d42cd5,224,Shoes,medium,184
33,f968404d-6c3a-465e-9edd-347784880455,33,T-Shirt,medium,266
34,f8b84112-9110-4628-91e8-9d22a13767f3,148,Skirt,large,483
35,c395de85-824c-4cbe-ad6b-ed80f5c15fb7,329,T-Shirt,medium,567
37,5dc34a85-d7f8-45bc-b922-2eae1a704f4b,113,Shorts,large,909
38,4acdd295-b0b4-4991-a6cd-c9d2c322c347,190,T-Shirt,small,620
41,a283e901-d8da-4be1-91ae-2a3c94de48a2,167,Hat,large,357
42,30b6fd9b-d172-4d5d-a1c1-c36d23f769dd,137,Shoes,large,374
44,d8445328-a318-434b-9c4e-fa29cf04be41,142,Shirt,small,119
45,5f2c69cd-918b-4ee0-9e74-7fa12d5095ab,57,Shorts,large,589
46,c4f11a12-2fcd-4268-8045-5a00aec7e656,308,Pants,medium,844
47,330f1f98-0d3d-4c64-bd82-518e6e157d08,66,T-Shirt,small,589
48,fb145f9c-024a-4177-ae55-4ef413756ee9,116,T-Shirt,medium,832
49,e85b5945-e8d0-4049-84b4-22ff5907ec8e,59,Longsleeve,medium,425
50,49d3b29c-54b9-4cae-b918-504cf24ce128,214,Shoes,medium,628
51,d748ed88-9bf7-402e-98a9-7a4c65582e48,150,Shoes,small,991
52,29d44695-c6b6-4b76-8ac9-12032990ba5f,3,T-Shirt,medium,188
53,4b8e5d41-3e12-4d2b-8634-e62e71d613ff,174,Dress,small,585
55,e912d309-20d4-44c1-887d-43c4e59c76be,78,T-Shirt,large,449
56,53e1ebfe-5216-4c95-b166-bee422a056f6,121,T-Shirt,large,183
58,8086c317-da42-48c2-bf29-d1d0063a78c7,14,T-Shirt,large,186
60,9a858530-6e0d-4bf0-8900-42055c64ddaf,190,Pants,medium,949
61,600e6a2d-1177-4918-9760-610f2d89dc30,78,Pants,small,253
62,b61be122-02ff-4a32-8da9-d331cbcd3cce,122,Pants,medium,539
